country,country_code,target_year,forecast_vintage,gdp_growth_forecast_percent,available_at,source_id,allowed_checkpoint
Thailand,THA,1998,IMF-WEO-1997-05,7.0,1997-05-15,S02,T0
Indonesia,IDN,1998,IMF-WEO-1997-05,7.4,1997-05-15,S02,T0
Malaysia,MYS,1998,IMF-WEO-1997-05,7.9,1997-05-15,S02,T0
Philippines,PHL,1998,IMF-WEO-1997-05,6.4,1997-05-15,S02,T0
Thailand,THA,1998,IMF-WEO-1997-10,3.5,1997-10-01,S06,T2
Indonesia,IDN,1998,IMF-WEO-1997-10,6.2,1997-10-01,S06,T2
Malaysia,MYS,1998,IMF-WEO-1997-10,6.5,1997-10-01,S06,T2
Philippines,PHL,1998,IMF-WEO-1997-10,5.0,1997-10-01,S06,T2
Thailand,THA,1998,IMF-WEO-1997-12,0.0,1997-12-19,O06,research-only
Indonesia,IDN,1998,IMF-WEO-1997-12,2.0,1997-12-19,O06,research-only
Malaysia,MYS,1998,IMF-WEO-1997-12,2.5,1997-12-19,O06,research-only
Philippines,PHL,1998,IMF-WEO-1997-12,3.8,1997-12-19,O06,research-only
Thailand,THA,1998,World-Bank-current-history,-7.63,2026-08-29,O05,outcome
Indonesia,IDN,1998,World-Bank-current-history,-13.13,2026-08-29,O05,outcome
Malaysia,MYS,1998,World-Bank-current-history,-7.36,2026-08-29,O05,outcome
Philippines,PHL,1998,World-Bank-current-history,-0.51,2026-08-29,O05,outcome

