country,country_code,year,gdp_growth_percent,cpi_inflation_percent,official_exchange_rate_lcu_per_usd,current_account_percent_gdp,real_export_growth_percent,real_import_growth_percent,revision_vintage,source_id
Indonesia,IDN,1996,7.82,7.97,2342.30,-3.37,7.56,6.86,2026-08-29,O05
Indonesia,IDN,1997,4.70,6.23,2909.38,-2.27,7.80,14.72,2026-08-29,O05
Indonesia,IDN,1998,-13.13,58.45,10013.62,4.29,11.18,-5.29,2026-08-29,O05
Malaysia,MYS,1996,10.00,3.49,2.52,-4.42,9.23,4.89,2026-08-29,O05
Malaysia,MYS,1997,7.32,2.66,2.81,-5.93,5.49,5.82,2026-08-29,O05
Malaysia,MYS,1998,-7.36,5.27,3.92,13.20,0.49,-18.75,2026-08-29,O05
Philippines,PHL,1996,5.86,7.48,26.22,-4.18,14.54,15.84,2026-08-29,O05
Philippines,PHL,1997,5.19,5.59,29.47,-4.62,16.69,12.78,2026-08-29,O05
Philippines,PHL,1998,-0.51,9.23,40.89,2.08,-19.91,-13.18,2026-08-29,O05
Thailand,THA,1996,5.65,5.81,25.34,-8.03,-4.48,-3.25,2026-08-29,O05
Thailand,THA,1997,-2.75,5.63,31.36,-2.01,9.05,-8.69,2026-08-29,O05
Thailand,THA,1998,-7.63,7.99,41.36,12.53,10.79,-19.56,2026-08-29,O05

