source_id,available_at,commodity,layer,signal,value,unit,direction,first_checkpoint
S01,2013-10-15,crude_oil,long,three_year_price_band_center,105,usd_per_bbl,stable_high,T0
S01,2013-10-15,crude_oil,long,us_light_tight_oil_growth_since_2005,3.5,million_bpd,supply_up,T0
S01,2013-10-15,metals,long,post_2000_high_prices_induced_investment,1,boolean,supply_lag_up,T0
S01,2013-10-15,metals,medium,china_share_global_refined_metal_consumption,45,percent,demand_concentrated,T0
S02,2014-07-03,crude_oil,short,2014_q2_average,106.3,usd_per_bbl,up,T1
S02,2014-07-03,copper,short,2014_q2_average,6795,usd_per_mt,down,T1
S02,2014-07-03,iron_ore,medium,2014_q2_average,103,usd_per_dmt,down_strong,T1
S02,2014-07-03,wheat_us_hrw,short,2014_q2_average,322.1,usd_per_mt,up,T1
S03,2014-07-08,crude_oil,long,us_2015_production_forecast,9.3,million_bpd,supply_up,T1
S03,2014-07-08,crude_oil,short,brent_june_peak,115,usd_per_bbl,geopolitical_up,T1
S04,2014-07-15,wheat_us_hrw,medium,world_2014_15_production_forecast,705.2,million_mt,slightly_down,T1
S04,2014-07-15,wheat_us_hrw,medium,stock_to_use_direction,1,boolean,up,T1
S05,2014-10-07,crude_oil,medium,us_september_production,8.7,million_bpd,supply_up,T2
S06,2014-10-10,wheat_us_hrw,medium,world_ending_stocks_forecast,192.6,million_mt,comfortable,T2
S07,2014-10-15,crude_oil,short,decline_from_june_high,20,percent,down,T2
S07,2014-10-15,iron_ore,long,2014_q3_quarterly_change,-12,percent,supply_down_price,T2
S07,2014-10-15,metals,long,china_share_global_refined_metal_consumption,47,percent,demand_concentrated,T2
S07,2014-10-15,grains,medium,2014_q3_index_change,-6.9,percent,supply_down_price,T2
S08,2014-11-27,crude_oil,short,opec_production_target,30,million_bpd,no_cut,T3
S09,2014-12-09,crude_oil,medium,2015_stock_build_forecast,0.4,million_bpd,inventory_up,T3
S09,2014-12-09,crude_oil,medium,2015_h1_stock_build_forecast,0.7,million_bpd,inventory_up_fast,T3
S09,2014-12-09,crude_oil,long,us_2015_production_forecast,9.3,million_bpd,supply_still_up,T3
