month,crude_oil_avg_usd_bbl,copper_usd_mt,iron_ore_usd_dmt,wheat_hrw_usd_mt
2011M01,92.69,9555.70,179.18,326.56
2011M02,97.91,9867.60,187.18,348.12
2011M03,108.65,9503.36,169.36,316.75
2011M04,116.24,9492.79,179.33,336.12
2011M05,108.07,8959.90,177.05,355.28
2011M06,105.85,9066.85,170.88,326.43
2011M07,107.92,9650.46,172.98,303.88
2011M08,100.49,9000.76,177.50,327.07
2011M09,100.82,8300.14,177.23,315.92
2011M10,99.85,7394.19,150.43,289.01
2011M11,105.41,7581.02,135.54,281.01
2011M12,104.23,7565.48,136.39,269.03
2012M01,107.07,8040.47,140.26,274.89
2012M02,112.69,8441.49,140.40,277.77
2012M03,117.78,8470.78,144.66,283.88
2012M04,113.67,8289.48,147.64,266.32
2012M05,104.09,7955.64,136.61,264.36
2012M06,90.73,7423.02,134.66,276.19
2012M07,96.75,7584.26,127.94,345.69
2012M08,105.27,7515.53,107.50,349.40
2012M09,106.28,8087.74,99.47,353.42
2012M10,103.41,8062.03,113.95,358.20
2012M11,101.17,7711.23,120.35,360.82
2012M12,101.19,7966.49,128.51,347.96
2013M01,105.10,8047.36,150.49,335.47
2013M02,107.64,8060.93,154.64,318.94
2013M03,102.52,7645.58,139.87,309.75
2013M04,98.85,7234.28,137.39,308.28
2013M05,99.37,7249.41,124.01,319.67
2013M06,99.74,7000.24,114.81,313.42
2013M07,105.26,6906.64,127.19,304.61
2013M08,108.16,7192.92,137.06,305.34
2013M09,108.76,7159.27,134.19,307.51
2013M10,105.43,7203.02,132.57,325.69
2013M11,102.63,7070.65,136.32,306.75
2013M12,105.48,7214.90,135.79,291.56
2014M01,102.10,7291.47,128.12,275.58
2014M02,104.83,7149.21,121.37,292.11
2014M03,104.04,6650.04,111.83,323.71
2014M04,104.87,6673.56,114.58,324.81
2014M05,105.71,6891.13,100.56,334.73
2014M06,108.37,6821.14,92.74,306.44
2014M07,105.23,7113.38,96.05,280.35
2014M08,100.05,7001.84,92.61,263.45
2014M09,95.85,6872.22,82.38,243.61
2014M10,86.08,6737.48,81.06,245.45
2014M11,76.99,6712.85,73.73,258.68
2014M12,60.70,6446.45,68.39,269.70
2015M01,47.11,5830.54,68.23,248.39
2015M02,54.79,5729.27,62.75,237.00
2015M03,52.83,5939.67,58.05,230.75
2015M04,57.54,6042.09,52.28,223.40
2015M05,62.51,6294.78,60.30,215.32
2015M06,61.31,5833.01,62.63,209.81
2015M07,54.34,5456.75,52.39,197.31
2015M08,45.69,5127.30,56.19,179.68
2015M09,46.28,5217.25,56.95,172.70
2015M10,46.96,5216.09,53.12,172.71
2015M11,43.11,4799.90,46.86,177.10
2015M12,36.57,4638.83,40.50,189.23
